PROCESSO,COD_ASSUNTO,ASSUNTO,DESIGNACAO,TITULO,DATA_ABERTURA_PROCESSO
2.5.15.268.2014.0-DOT,120,ELEIÇÃO DE CORPOS GERENTES,ELEIÇÃO DE CORPOS GERENTEES DE ASS. PATRONAL,ANAREC - ASSOCIAÇÃO NACIONAL DE REVENDEDORES DE COMBUSTIVIES   C.E. 5.293,2014.05.06 00:00:00
2.4.14.310.2014.4-DOT,123,ALTERAÇÃO DE ESTATUTOS,ALTERAÇÃO DE ESTATUTOS DE ASS. SINDICAL,"FESAHT- FEDERAÇÃO DOS SINDICATOS DE AGRICULTURA, ALIMENTAÇÃO, BEBIDAS, HOTELARIA E TURISMO DE PORTUGAL   C.E. 2.40",2014.05.21 00:00:00
2.6.17.202.2014.0-DOT,130,ELEIÇÃO DE COMISSÕES DE TRABALHADORES,ELEIÇÃO DE COM. DE TRABALHADORES,"IMPRENSA NACIONAL- CASA DA MOEDA, SA      C.E. 9.49",2014.04.04 00:00:00
2.4.14.211.2014.4-DOT,123,ALTERAÇÃO DE ESTATUTOS,ALTERAÇÃO DE ESTATUTOS DE ASS. SINDICAL,SINDICATO DOS PROFESSORES DA GRANDE LISBOA   C.E. 1.299,2014.04.09 00:00:00
2.5.14.217.2014.2-DOT,123,ALTERAÇÃO DE ESTATUTOS,ALTERAÇÃO DE ESTATUTOS DE ASS. PATRONAL,APESPE- ASSOCIAÇÃO PORTUGUESA DAS EMPRESAS DO SECTOR PROVADO DE EMPREGO    C.E. 5.413,2014.04.11 00:00:00
2.6.17.231.2011.8-DOT,130,ELEIÇÃO DE COMISSÕES DE TRABALHADORES,ELEIÇÃO DE COM. DE TRABALHADORES,"EUROPA & C KRAFT VIANA, S.A. (PORTUCEL VIANA)-CE 342",2011.03.16 00:00:00
2.6.17.459.2011.2-DOT,130,ELEIÇÃO DE COMISSÕES DE TRABALHADORES,ELEIÇÃO DE COM. DE TRABALHADORES,"FUNFRAP- FUNDIÇÃO PORTUGUESA, S.A.   C.E. 9.295",2011.05.19 00:00:00
2.6.14.461.2011.1-DOT,123,ALTERAÇÃO DE ESTATUTOS,ALT. ESTATUTOS C. TRAB.,"MOVIJOVEM-MOBILIDADE JUVENIL, COOPERATIVA DE INTERESSE PÚBLICO DE RESPONSABILIDADE LIMITADA- CE 9.673",2011.05.20 00:00:00
2.5.14.463.2011.2-DOT,123,ALTERAÇÃO DE ESTATUTOS,ALTERAÇÃO DE ESTATUTOS DE ASS. PATRONAL,ASSOCIAÇÃO COMERCIAL E SERVIÇOS  C.E. 5.236,2011.05.23 00:00:00
2.5.15.464.2011.4-DOT,120,ELEIÇÃO DE CORPOS GERENTES,ELEIÇÃO DE CORPOS GERENTEES DE ASS. PATRONAL,ASSOCIAÇÃO COMERCIAL E SERVIÇOS   C.E. 5.236,2011.05.23 00:00:00
