Nº Entrada,Data entrada,Entidade Sindical,Entidade Patronal,CAE,NIF,Designação,Início,Fim,Observações,ANO,MÊS
380,27-Mar, SNTSF - Sindicato Nacional dos Trabalhadores do Sector Ferroviário ,"EMEF - Empresa de Manutenção e Equipamento Ferroviário, SA ",33170,,Empresa,03-Apr,02-May,,2014,3
381,27-Mar,SEP - Sindicato dos Enfermeiros Portugueses,Enfermeiros,86903,,FP,10-Apr,,,2014,3
385,02-Apr,"SITE Sul - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Sul","PARMALAT PORTUGAL - PRODUTOS ALIMENTARES, LDA",10510,,Empresa,17-Apr,26-Dec,Greve dias 17 a 19-4; 24 a 26-4; 30-4 a 2-5; 31-5 a 2-6; 9 a 11-6; 14 a 16-8; 24 a 26-12,2014,3
386,02-Apr,"SITE Sul - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Sul","CONTINENTAL LEMMERZ (PORTUGAL) - COMPONENTES PARA AUTOMÓVEIS, LDA",29320,,Empresa,07-Apr,TI,,2014,3
387,02-Apr,APROFER - Associação Sindical dos Profissionais do Comando e do Controlo Ferroviário,"REFER - REDE FERROVIÁRIA NACIONAL, EPE .",52211,,Empresa,17-Apr,21-Apr,Greve 17 e 21-4,2014,3
397,03-Apr-14,"STIHTRSS - SINDICATO DOS TRABALHADORES DA INDÚSTRIA DE HOTELARIA, TURISMO, RESTAURANTES E SIMILARES DO SUL",Nobrecer (nas escolas Gil Paes e Artur Gonçalves em Torres Novas),56290,,Empresa,01-Apr-14,,,2014,3
396,03-Apr-14," STAL - Sindicato Nacional dos Trabalhadores da Administração Local e Regional, Empresas Públicas, Concessionárias e Afins",Todos os jovens trabalhadoresaté aos 35 anos  no ambito estatutário do Sindicato,20-Apr-02,,FP,28-Mar-14,,,2014,3
400,03-Apr,SNM - Sindicato Nacional dos Motoristas,"TST - Transportes Sul do Tejo, SA",49391,,Empresa,02-Apr,,,2014,3
Nº 188,06-Mar,"STICCCMMSRC - Sindicato dos Trabalhadores das Indústrias de Cerâmica, Cimentos, Construção, Madeiras, Mármores e Similares da Região Centro","CERDOMUS - INDUSTRIAS CERÂMICAS, SA",23312,,,14-Mar,TI,,2014,3
Nº 202,17-Mar,"SITE Centro Norte - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Centro e Norte","Fábrica  Papel Cartão  Zarrinha, S.A",17211,,Empresa,03-Apr-14,24-Apr-14,"Greve dias 3, 10, 17 e 24-4 entre as 22 e as 24H",2014,3
Nº 225,24-Mar,"SITE-NORTE - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Norte","CNB CAMAC-COMPANHIA NACIONAL DE BORRACHAS, SA",22111,,Empresa,31-Mar,TI,,2014,3
Nº 231,26-Mar,"STAD - Sindicato dos Trabalhadores de Serviços de Portaria, Vigilância, Limpeza, Domésticas e Actividades Diversas",Lourilimpeza (no SMTUC - Autocarros dos Serviços Municipalizados de Coimbra),81210,,Empresa,09-Apr,,,2014,3
Nº 243,28-Mar,SINPICVAT - Sindicato Nacional dos Profissionais na Inústria e Comércio de Vestuário e de Artigos Têxteis,"António Nunes & Nunes, Lda.",,,Empresa,25-Nov,TI,,2014,3
487,05-Apr,SNCGP - Sindicato Nacional do Corpo da Guarda Prisional,Corpo da Guarda Prisional,84240,,FP,24-May,25-May,,2014,4
416,08-Apr,SICGP - Sindicato Independente do Corpo da Guarda Prisional,Corpo da Guarda Prisional,84240,,FP,18-Apr,08-May,,2014,4
