Nº Entrada,Data entrada,Entidade Sindical,Entidade Patronal,CAE,NIF,Designação,Início,Fim,Observações,ANO,MÊS
752-41,19-Jun,SNTCT - Sindicato Nacional dos Trabalhadores dos Correios e Telecomunicações,"Optimus - Telecomunicações, SA",,,,27-Jun,,,2013,6
752-41,19-Jun,SNTCT - Sindicato Nacional dos Trabalhadores dos Correios e Telecomunicações,"Payshop (Portugal), SA",,,,27-Jun,,,2013,6
752-41,19-Jun,SNTCT - Sindicato Nacional dos Trabalhadores dos Correios e Telecomunicações,Phone House,,,,27-Jun,,,2013,6
752-41,19-Jun,SNTCT - Sindicato Nacional dos Trabalhadores dos Correios e Telecomunicações,Plataforma,,,,27-Jun,,,2013,6
752-41,19-Jun,SNTCT - Sindicato Nacional dos Trabalhadores dos Correios e Telecomunicações,"Portugal Telecom SGPS, SA",,,,27-Jun,,,2013,6
752-41,19-Jun,SNTCT - Sindicato Nacional dos Trabalhadores dos Correios e Telecomunicações,Post Speed,,,,27-Jun,,,2013,6
752-41,19-Jun,SNTCT - Sindicato Nacional dos Trabalhadores dos Correios e Telecomunicações,Postcontacto,,,,27-Jun,,,2013,6
752-41,19-Jun,SNTCT - Sindicato Nacional dos Trabalhadores dos Correios e Telecomunicações,PT - ACS,,,,27-Jun,,,2013,6
752-41,19-Jun,SNTCT - Sindicato Nacional dos Trabalhadores dos Correios e Telecomunicações,PT Contact,,,,27-Jun,,,2013,6
752-41,19-Jun,SNTCT - Sindicato Nacional dos Trabalhadores dos Correios e Telecomunicações,PT Inovação,,,,27-Jun,,,2013,6
752-41,19-Jun,SNTCT - Sindicato Nacional dos Trabalhadores dos Correios e Telecomunicações,PT PRO,,,,27-Jun,,,2013,6
752-41,19-Jun,SNTCT - Sindicato Nacional dos Trabalhadores dos Correios e Telecomunicações,Randstad,,,,27-Jun,,,2013,6
752-41,19-Jun,SNTCT - Sindicato Nacional dos Trabalhadores dos Correios e Telecomunicações,RH Mais,,,,27-Jun,,,2013,6
752-41,19-Jun,SNTCT - Sindicato Nacional dos Trabalhadores dos Correios e Telecomunicações,Temp-Team,,,,27-Jun,,,2013,6
752-41,19-Jun,SNTCT - Sindicato Nacional dos Trabalhadores dos Correios e Telecomunicações,TMN,,,,27-Jun,,,2013,6
752-41,19-Jun,SNTCT - Sindicato Nacional dos Trabalhadores dos Correios e Telecomunicações,Tutela,,,,27-Jun,,,2013,6
752-41,19-Jun,SNTCT - Sindicato Nacional dos Trabalhadores dos Correios e Telecomunicações,TWW - Transcom WW,,,,27-Jun,,,2013,6
752-41,19-Jun,SNTCT - Sindicato Nacional dos Trabalhadores dos Correios e Telecomunicações,Vodafone,,,,27-Jun,,,2013,6
752-41,19-Jun,SNTCT - Sindicato Nacional dos Trabalhadores dos Correios e Telecomunicações,Zon TV Cabo,,,,27-Jun,,,2013,6
753-3,19-Jun,SNPL - Sindicato Nacional dos Professores Licenciados,"Todos os professores dos ensinos básico. Secundário, Superior e Investigadores",85,,FP - Sector,27-Jun,,,2013,6
754,19-Jun,STI - Sindicato dos Trabalhadores dos Impostos,Todos os trabalhadores dos serviços dependentes da Autoridade Tributária e Aduaneira e da Direcção Regional dos Assuntos Fiscais da Região Autónoma da Madeira,,,,27-Jun,,,2013,6
,,SINDEL - Sindicato Nacional da Industria e da Energia,Todos os trabalhadores,,,,27-Jun,,GREVE GERAL,2013,6
,,SINDETELCO - Sindicato Democrático dos Trabalhadores das Comunicações e dos Média ,Todo o âmbito e área estatutária do Sindicato ,,,,27-Jun,,GREVE GERAL,2013,6
756 e º 742,19-06 e 20-6,SEP - Sindicato dos Enfermeiros Portugueses,"Enfermeiros do Centro Hospitalar da Cova da Beira, EPE",,,,02-Jul,4/jul,,2013,6
746,19-Jun,"STEFFAs - Sindicato dos Trabalhadores Civis das Forças Armadas, Estabelecimentos Fabris e Empresas de Defesa","Todo o âmbito e área estatutária do Sindicato (Exército; Armada; Força Áerea; OGMA, SA; Arsenal do Alfeite, SA; Empordef, SGPS, SA; Estabelecimentos Fabris do Exército; Instituto de Apoio Social das Forças Armadas)",,,,27-Jun,,,2013,6
747,19-Jun,SINAPSA - Sindicato Nacional dos Profissionais de Seguros e Afins,Todo o âmbito e área estatutária do Sindicato ,,,,27-Jun,,,2013,6
764,20-Jun,SNP - Sindicato Nacional dos Psicólogos,Todo o âmbito e área estatutária do Sindicato ,86906,,FP - Sector,27-Jun,,GREVE GERAL,2013,6
766,20-Jun,SJ - Sindicato dos Jornalistas,Todos os jornalistas,n,,Sector,27-Jun,,GREVE GERAL,2013,6
748 e Nº 743,19-06 e 20-6,SOCN - Sindicato dos Operários Corticeiros do Norte,Trabalhadores Corticeiros do Norte,,,,27-Jun,,GREVE GERAL,2013,6
753-3,19-Jun,SNESup - Sindicato Nacional do Ensino Superior,Todas as instituições de ensino superior,85420,,FP - Sector,27-Jun,,GREVE GERAL,2013,6
763-2,20-Jun,"FIEQUIMETAL - Federação Intersindical das Indústrias Metalúrgicas, Químicas, Eléctricas, Farmacêutica, Celulose, Papel, Gráfica, Imprensa, Energia e Minas (FEPCES - Federação Portuguesa dos Sindicatos de Comércio, Escritórios e Serviços / FESAHT - Federação dos Sindicatos da Agricultura, Alimentação, Bebidas, Hotelaria e Turismo de Portugal / FECTRANS - Federação dos Sindicatos de Transportes e Comunicações / SIFOMATE - Sindicato dos Fogueiros,Energia e Indústrias Transformadoras)","EUROPA&C EMBALAGEM , S.A.",17211,,Empresa,28-Jun,,,2013,6
Nº 754,25-Jun,STPS - Sindicato dos Trabalhadores da Pesca do Sul,Sector da Pesca,,,,27-Jun,,GREVE GERAL,2013,6
745-2,19-Jun,FEBASE - Federação do Sector Financeiro,"SIBS - Forward Payment Solutiosn, SA",,,,27-Jun,,,2013,6
745-2,19-Jun,SBSI - Sindicato dos Bancários do Sul e Ilhas,"(SERVIÇOS MÍNIMOS) SIBS - Forward Payment Solutiosn, SA",,,,27-Jun,,GREVE GERAL,2013,6
759,20-Jun,SITAVA - Sindicato dos Trabalhadores da Aviação e Aeroportos,"ANA - AEROPORTOS DE PORTUGAL, SA",52230,,Empresa,06-Jul,31/dez,"feriados, TS e dia de descanso semanal",2013,6
762,20-Jun,SIESI - Sindicato das Indústrias Eléctricas do Sul e Ilhas,"KEMET ELECTRONICS PORTUGAL, SA",27900,,Empresa,27-Jun,29/jun,,2013,6
763-2,20-Jun,"SINDEQ - Sindicato Democrático da Energia, Química, Têxtil e Indústrias Diversas - Secção Centro Sul","EUROPA&C EMBALAGEM , S.A.",17211,,Empresa,28-Jun,,,2013,6
772,25-Jun,COMISSÃO DE TRABALHADORES DO BRITISH COUNCIL EM PORTUGAL,BRITISH COUNCIL - REPRESENTAÇÃO PERMANENTE EM PORTUGAL,85592,,Empresa,28-Jun,3/jul,Greve dias 28/6 e 3/7,2013,6
773,25-Jun,"CENA - SIndicato dos Músicos, dos Profissionais do Espectáculo e do Audiovisual","Todo o âmbito e área estatutária do Sindicato (Todos os trabalhadores dos sectores da Música, Espectáculos, Ensino, Restauração e Hotelaria)",,,,27-Jun,,GREVE GERAL,2013,6
786,26-Jun,"SITE SUL - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Sul","PARMALAT PORTUGAL, LDA.",,,,17-Jul,TI,SUSPENSA dia 12/7     -    Greve de 4 horas por turno00,2013,6
Nº 753,25-Jun,"STAD - Sindicato dos Trabalhadores de Serviços de Portaria, Vigilância, Limpeza, Domésticas e Actividades Diversas","Lourilimpeza, Lda. (no SMTUC - Autocarros dos Serviços Municipalizados de Coimbra)",,,,08-Jul,9/jul,,2013,6
Nº 762,26-Jun,"SITE-NORTE - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Norte","Inapal Plásticos, SA",,,,01-Jul,6/jul,Cancelada em 5-7 (entrada nº 793),2013,6
771,25-Jun,SEP - Sindicato dos Enfermeiros Portugueses,Todos os enfermeiros,,,Sector,09-Jul,10/jul,,2013,6
Nº 767,27-Jun,"SITE-NORTE - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Norte","CNB / CAMAC - Companhia Nacional de Borracha, SA",,,,03-Jul,,Cancelada em 10-7 (entrada nº 810),2013,6
787,26-Jun,SINTAP - Sindicato dos Trabalhadores da Administração Pública e Entidades com Fins Públicos,CAMÂRA MUNICIPAL DE OEIRAS,,,,04-Jul,30/set,,2013,6
Nº 771,28-Jun,"SCMACFCMTM - SINDICATO DO CALÇADO, MALAS E AFINS, COMPONENTES, FORMAS E CURTUMES DO MINHO E TRÁS-OS MONTES","Fábrica  de Calçado Campeão Português, S.A",,,,09-Jul,10/jul,,2013,6
788,01-Jul,SITAVA - Sindicato dos Trabalhadores da Aviação e Aeroportos,SPDH ,,,,15-Jul,1/set,,2013,6
809,04-Jul,SNTCT - Sindicato Nacional dos Trabalhadores dos Correios e Telecomunicações,CDP Santarém,53100,,,15-Jul,19-Jul,Greve Parcial entre as 9:00 e as 11:00,2013,6
641,11-Jun,SERS - Sindicato dos Engenheiros da Região Sul,Todo o âmbito e área estatutária do Sindicato ,,,,27-Jun,,,2013,6
650,11-Jun,SENSIQ - Sindicato de Quadros Técnicos,ADP / PETROGAL,,,,27-Jun,,,2013,6
651-3,11-Jun,SENSIQ - Sindicato de Quadros Técnicos,PETROGAL / GALP ENERGIA / CEPSA /BP,,,,27-Jun,,,2013,6
667-26,12-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,,,,,27-Jun,,,2013,6
667-26,12-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,,,,,27-Jun,,,2013,6
667-26,12-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,,,,,27-Jun,,,2013,6
667-26,12-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,,,,,27-Jun,,,2013,6
667-26,12-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,,,,,27-Jun,,,2013,6
667-26,12-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,,,,,27-Jun,,,2013,6
667-26,12-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,,,,,27-Jun,,,2013,6
667-26,12-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,,,,,27-Jun,,,2013,6
667-26,12-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,,,,,27-Jun,,,2013,6
667-26,12-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,,,,,27-Jun,,,2013,6
667-26,12-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,,,,,27-Jun,,,2013,6
667-26,12-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,,,,,27-Jun,,,2013,6
667-26,12-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,,,,,27-Jun,,,2013,6
667-26,12-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,,,,,27-Jun,,,2013,6
667-26,12-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,,,,,27-Jun,,,2013,6
667-26,12-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,,,,,27-Jun,,,2013,6
667-26,12-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,,,,,27-Jun,,,2013,6
667-26,12-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,,,,,27-Jun,,,2013,6
667-26,12-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,,,,,27-Jun,,,2013,6
667-26,12-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,,,,,27-Jun,,,2013,6
667-26,12-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,,,,,27-Jun,,,2013,6
667-26,12-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,,,,,27-Jun,,,2013,6
667-26,12-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,,,,,27-Jun,,,2013,6
667-26,12-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,,,,,27-Jun,,,2013,6
667-26,12-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,,,,,27-Jun,,,2013,6
667-26,12-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,,,,,27-Jun,,,2013,6
676-12,12-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,AMBIENTE JARDIM,,,,27-Jun,,,2013,6
676-12,12-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,ECOSAUDE,,,,27-Jun,,,2013,6
676-12,12-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,FERNAVE,,,,27-Jun,,,2013,6
676-12,12-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,GSET,,,,27-Jun,,,2013,6
676-12,12-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,IBERLIM,,,,27-Jun,,,2013,6
676-12,12-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,MANVIA,,,,27-Jun,,,2013,6
676-12,12-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,MOTAENGIL - FERROVIAS,,,,27-Jun,,,2013,6
676-12,12-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,NOVA SERVIÇOS,,,,27-Jun,,,2013,6
676-12,12-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,REFER PATRIMÓNIO,,,,27-Jun,,,2013,6
676-12,12-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,REFER TELECOM,,,,27-Jun,,,2013,6
676-12,12-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,SIMEF,,,,27-Jun,,,2013,6
676-12,12-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,SISINT,,,,27-Jun,,,2013,6
678,12-Jun,SNM - Sindicato Nacional dos Motoristas,ANTRAM,,,,27-Jun,,,2013,6
682-2,12-Jun,,"Trab. Sectores escritórios, comércio e serviços Horta",,,,27-Jun,,,2013,6
685,12-Jun,,"Trabalhadores dos Sectores Transportes, Abastecedores de Combustíveis, Garagens, Oficinas de Reparação, Pintura, Est. Serv., Rec. Autom. E Industria Hoteleira e Similares",,,,27-Jun,,,2013,6
686,12-Jun,"SIMAMEVIP - Sindicato dos Trabalhadores da Marinha Mercante, Agências de Viagens, Transitários e Pesca","Lotaçor - Serv. Lotas dos Açores, SA",,,,27-Jun,,,2013,6
702,12-Jun,SITRA - Sindicato dos Trabalhadores dos Transportes;UGT,ANIECA,,,,27-Jun,,,2013,6
703,12-Jun,SITRA - Sindicato dos Trabalhadores dos Transportes;UGT,ANTRAM,,,,27-Jun,,,2013,6
720,14-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,PROMETRO,,,,27-Jun,,,2013,6
721,14-Jun,SITRA - Sindicato dos Trabalhadores dos Transportes;UGT,ANTRAL,,,,27-Jun,,,2013,6
722,14-Jun,SITRA - Sindicato dos Trabalhadores dos Transportes;UGT,Vimeca Transportes,,,,27-Jun,,,2013,6
726,17-Jun,"SITE SUL - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Sul",Frauenthal Automotive Azambuja,,,,24-Jun,,ANULADA em 24/6,2013,6
727,17-Jun,SITAVA - Sindicato dos Trabalhadores da Aviação e Aeroportos,PORTWAY,,,,01-Jul,31/dez,,2013,6
728,17-Jun,SINDICATO DOS ESTIVADORES DO PORTO DE LISBOA CENTRO E SUL DE PORTUGAL,"Trabalhadores Portuários de Lisboa, Setúbal, Sesimbra e Figueira da Foz",52240,,,,,,2013,6
729,17-Jun,"FESAHT - Federação dos Sindicatos da Agricultura, Alimentação, Bebidas, Hotelaria e Turismo de Portugal",AHRESP,,,,02-Jul,03/01/14,,2013,6
730,17-Jun,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,Manpower,,,,19-Jun,31/dez,,2013,6
733,17-Jun,"SITE SUL - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Sul",SINDUFLEX-COMERCIALIZAÇÃO DE CONTENTORES E SISTEMAS INDUSTRIAIS FLEXIVEIS LDA (Trab. Colocados na AUTOEUROPA),,,,17-Jun,,,2013,6
744,19-Jun,"STFCMM - SINDICATO DOS TRANSPORTES FLUVIAIS, COSTEIROS, E DA MARINHA MERCANTE / SITEMAQ - Sindicato da Mestrança e Marinhagem da Marinha Mercante,  Fogueiros de Terra e Energia / SNTSF - Sindicato Nacional dos Trabalhadores do Sector Ferroviário / SIMAMEVIP - Sindicato dos Trabalhadores da Marinha Mercante, Agências de Viagens, Transitários e Pesca",SOFLUSA,,,,24-Jun,,Greve das 13:55 às 15:55,2013,6
749-2,19-Jun,"FIEQUIMETAL - Federação Intersindical das Indústrias Metalúrgicas, Químicas, Eléctricas, Farmacêutica, Celulose, Papel, Gráfica, Imprensa, Energia e Minas ",EDP,,,,27-Jun,,,2013,6
749-2,19-Jun,SINDEL - Sindicato Nacional da Industria e da Energia,EDP,,,,27-Jun,,,2013,6
753-3,19-Jun,FENPROF - Federação Nacional dos Professores ,"Todos os professores dos ensinos básico. Secundário, Superior e Investigadores",,,,,,,2013,6
778,25-Jun,SITRENS - Sindicato Nacional Ferroviário do Pessoal de Trens,"CP - Comboios de Portugal, EPE / CP Carga - Logística e Transportes Ferroviários de Mercadorias SA",49100/49200,,2 Empresas,08-Jul,08-Aug,TS ,2013,6
,,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,Avenir Telecom,,,,27-Jun,,,2013,6
,,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,Câmara Municipal de Lagoa,,,,27-Jun,,,2013,6
,,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,Câmara Municipal de Moimenta da Beira,,,,27-Jun,,,2013,6
,,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,Câmara Municipal de Setúbal,,,,27-Jun,,,2013,6
,,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,Cinemateca Portuguesa - Museu do Cinema,,,,27-Jun,,,2013,6
,,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,Empresa Municipal de Cultura e Recreio de Seia,,,,27-Jun,,,2013,6
,,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,Fujitsu Elotécnico,,,,27-Jun,,,2013,6
,,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,Lusotemp,,,,27-Jun,,,2013,6
,,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,"Movimen, Emp. Trab. Temp.",,,,27-Jun,,,2013,6
,,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,PT Prime,,,,27-Jun,,,2013,6
,,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,Secretaria Reg. Do Ambiente e Recursos Naturais,,,,27-Jun,,,2013,6
,,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,Teatro José Lúcio da Silva,,,,27-Jun,,,2013,6
,,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,Teatro Municipal da Guarda,,,,27-Jun,,,2013,6
,,"SITE SUL - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Sul",SINDUFLEX-COMERCIALIZAÇÃO DE CONTENTORES E SISTEMAS INDUSTRIAIS FLEXIVEIS LDA (Trab. Colocados na AUTOEUROPA),43290,,,28-Jun,,SUSPENSÃO dia 28/6,2013,6
,,STAL - Sindicato Nacional dos Trabalhadores da Administração Local e Regional,Todos os jovens até aos 35 anos trabalhadores da Administração Local e Regional,,,,,,,2013,6
,,STE - Sindicato dos Trabalhadores de Espectáculos,"Teatro Nacional de S. Carlos, EPE (Trab. Da secção de Maquinistas)",,,,,,,2013,6
Nº?,11-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,"STCP - Transportes Colectivos do Porto, S.A.",,,,27-Jun,,GREVE PARCIAL,2013,6
689 e Nº,12-06 e 11-6,SNM - Sindicato Nacional dos Motoristas,ANTROP,,,,27-Jun,,GREVE PARCIAL,2013,6
691 e Nº,12-06 e 11-6,SITRA - Sindicato dos Trabalhadores dos Transportes,ANTROP,,,,27-Jun,,GREVE PARCIAL,2013,6
691 e Nº,12-06 e 11-6,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,ANTROP,,,,27-Jun,,GREVE PARCIAL,2013,6
Nº,11-Jun,STAL - Sindicato Nacional dos Trabalhadores da Administração Local,"Resiestrela - Valorização e Tratamento de Resíduos Sólidos, S.A.",,,,27-Jun,,GREVE PARCIAL,2013,6
692 e Nº,12-Jun,SITRA - Sindicato dos Trabalhadores dos Transportes,Rodoviária Beira Interior,,,,27-Jun,,GREVE PARCIAL,2013,6
Nº,12-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,Rodoviária Beira Interior,,,,27-Jun,,GREVE PARCIAL,2013,6
694 e Nº,12-Jun,SITRA - Sindicato dos Trabalhadores dos Transportes,"Rodoviária D'entre Douro e Minho, SA",,,,27-Jun,,GREVE PARCIAL,2013,6
Nº,12-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,"Rodoviária D'entre Douro e Minho, SA",,,,27-Jun,,GREVE PARCIAL,2013,6
Nº,12-Jun,SITRA - Sindicato dos Trabalhadores dos Transportes,Rodoviária Beira Litoral,,,,27-Jun,,GREVE PARCIAL,2013,6
Nº,12-Jun,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,Rodoviária Beira Litoral,,,,27-Jun,,GREVE PARCIAL,2013,6
755 e Nº ,19-06 e 14-6,SNTCT - Sindicato Nacional dos Trabalhadores dos Correios e Telecomunicações,"CTT - Correios de Portugal, SA (CDP 4440 - Valongo)",,,,02-Jul,,,2013,6
806,04-Jul,SCIF - SINDICATO DA CARREIRA DE INVESTIGAÇÃO E FISCALIZAÇÃO DO SERVIÇO DE ESTRANGEIROS E FRONTEIRAS,SEF - Serviço de Estrangeiros e Fronteiras (Carreira de Investigação e Fiscalização ),84240,,FP,12-Jul,TI,Greve dias úteis das 17:30 às 9:00 e 24:00 fim-de-semana e feriados,2013,7
807 e Nº 788,04-Jul,FPS-NORTE - SINDICATO DOS TRABALHADORES EM FUNÇÕES PÚBLICAS E SOCIAIS DO NORTE,"Trab. Da Unidade Hospitalar de Fafe do Centro Hospitalar do Alto Ave, EPE",86100,,FP,17-Jul,,Entre as 8:00 e as 20:00,2013,7
808,04-Jul,SNTSF - Sindicato Nacional dos Trabalhadores do Sector Ferroviário,"CP - Comboios de Portugal, EPE",49100,,Empresa,18-Jul,31/ago,,2013,7
Nº 803,10-Jul,"STFCMM - SINDICATO DOS TRANSPORTES FLUVIAIS, COSTEIROS, E DA MARINHA MERCANTE","Moveaveiro - Empresa Municipal de Mobilidade, EM",49310,,Empresa,22-Jul,,,2013,7
Nº 797,08-Jul,"SITE Centro Norte - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Centro Norte","Fábrica  Papel Cartão  Zarrinha, S.A",17211,,Empresa,01-Aug,29-Aug,"Greve nos dias: 1, 8, 22 e  29  de Agosto de 2013 ( turnos, das 22 horas às 24.00 horas)",2013,7
822-2,12-Jul,SPN - Sindicato dos Professores do Norte,Associação de Socorros Mútuos de S. Francisco de Anta (Valências de Creche e Jardim de Infância),65112,,Empresa,17-Jul,,,2013,7
Nº 818,12-Jul,"SITE-NORTE - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Norte","Inapal Plásticos, SA",29320,,Empresa,17-Jul,26-Jul,Greve de 1 hora por turno,2013,7
823,12-Jul,"STIHTRSA - SINDICATO DOS TRABALHADORES DA INDÚSTRIA DE HOTELARIA, TURISMO, RESTAURANTES E SIMILARES DO ALGARVE",Hotel Montechoro (Albuferia),55111,,Empresa,18-Jul,22/jul,,2013,7
822-2 e Nº 815,12-07 e 11-7,CESP - Sindicato dos Trabalhadores do Comércio Escritórios e Serviços de Portugal,Associação de Socorros Mútuos de S. Francisco de Anta (Valências de Creche e Jardim de Infância),65112,,Empresa,17-Jul,,,2013,7
828,15-Jul,"STAD - Sindicato dos Trabalhadores de Serviços de Portaria, Vigilância, Limpeza, Domésticas e Actividades Diversas",G Set (Trab. De limpeza na CP Santa Apolónia),81210,,Empresa,31-Jul,01-Aug,"Greve das 6 às 8H, das 10 às 12H, das a4 às 16H, das 18 às 20H e das 21 às 22H",2013,7
838,16-Jul,Comissão de Trabalhadores da SOFLUSA,"SOFLUSA - SOCIEDADE FLUVIAL DE TRANSPORTES, SA",50102,,Empresa,18-Jul,,Plenário do Barreiro - Greve das 13:55 às 15:55,2013,7
840,16-Jul,"FEVICCOM - Federação Portuguesa dos Sindicatos da Construção, Cerâmica e Vidro","Saint Gobain Sekurit Portugal - Vidro Automóvel, S.A.",23120,,Empresa,24-Jul,31-Jul,Greve em determinados horários,2013,7
846,18-Jul,"SITE SUL - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Sul","Isporeco - Integração de Serviços Ecológicos de Manutenção Industrial Portugueses, Lda. (na Palmetal Kautex)",81220,,Empresa,24-Jul,TI,,2013,7
Nº 834,16-Jul,SNTCT - Sindicato Nacional dos Trabalhadores dos Correios e Telecomunicações,"CTT - Correios de Portugal, SA (CDP 4440 - Valongo)",53100,,Empresa,05-Aug,09-Aug,Greve Parcial,2013,7
845,18-Jul,SITAVA - Sindicato dos Trabalhadores da Aviação e Aeroportos,Groundforce Portugal,52230,,Empresa,01-Aug,,Reunião - Greve das 15 e as 18H,2013,7
Nº 843,19-Jul,"SITE-NORTE - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Norte","Delphi Automotive Stystems Portugal, S.A. - Braga",29310,,Empresa,26-Jul,31-Dec,,2013,7
856,23-Jul,"STFCMM - SINDICATO DOS TRANSPORTES FLUVIAIS, COSTEIROS, E DA MARINHA MERCANTE / SITEMAQ - Sindicato da Mestrança e Marinhagem da Marinha Mercante, Energia e Fogueiros de Terra / SNTSF - Sindicato Nacional dos Trabalhadores do Sector Ferroviário / SIMAMEVIP - Sindicato dos Trabalhadores da Marinha Mercante, Agências de Viagens, Transitários e Pesca","SOFLUSA-SOCIEDADE FLUVIAL DE TRANSPORTES, SA (trabalhadores a bordo dos navios)",50102,,Empresa,19-Jul,TI,Greve de 2 horas por turno com início no dia em que entrar ao serviço as novas escalas,2013,7
857,23-Jul,SNTCT - Sindicato Nacional dos Trabalhadores dos Correios e Telecomunicações,"CTT - Correios de Portugal, SA (CPL - N)",53100,,Empresa,05-Aug,,Greve parcial entre as 5:00 e as 10:00,2013,7
858,23-Jul,SNTCT - Sindicato Nacional dos Trabalhadores dos Correios e Telecomunicações,"CTT - Correios de Portugal, SA (Sector da Logística do CPL - N)",53100,,Empresa,06-Aug,09-Aug,Greve parcial nas 2 últimas horas,2013,7
Nº 850,22-Jul,"STIHTRSN - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Norte",Solar Residêncial São Gabriel,55112,,Empresa,29-Jul,31-Jul,SUSPENSA dia 29-7 (entrada Nº 865),2013,7
886,06-Aug,SITRENS - Sindicato Nacional Ferroviário do Pessoal de Trens,"CP - Comboios de Portugal, EPE / CP Carga - Logística e Transportes Ferroviários de Mercadorias SA",49100 / 49200,,2 Empresas,09-Aug,09-Sep,,2013,7
