Nome_Org;Website
FEDERAÇAO PORTUGUESA DOS SINDICATOS DO COMÉRCIO, ESCRITÓRIOS E SERVIÇOS;http://cad.cgtp.pt/ica/index.php/6649;isaar
SINDICATO DA CONSTRUÇÃO, OBRAS PÚBLICAS E SERVIÇOS;http://www.setaccop.pt/
SINDICATO NACIONAL DOS PROFESSORES DO ENSINO SECUNDÁRIO;https://fne.pt/
SINDICATO NACIONAL DO PESSOAL DA SAÚDE;http://www.usi.pt/aspas-associacao-sindical-do-pessoal-administrativo-da-saude/
SINDICATO DEMOCRÁTICO DOS PROFESSORES DA GRANDE LISBOA E VALE DO TEJO;http://www.sdpgl.pt/
UNIÃO SINDICAL DE MAFRA;https://empresite.jornaldenegocios.pt/USTCLMS-UNIAO-SINDICAL-TORRES-VEDRAS-CADAVAL-LOURINHA-MAFRA-SOBRAL-MONTE-AGRACO.html
SINDICATO DOS PORTEIROS E PORTEIRAS DOS PRÉDIOS URBANOS;https://www.stad.pt/index.php/salarios/tabelas-salarial-tppu
SINDICATO NACIONAL DOS PROFISSIONAIS DE SERVIÇO SOCIAL;https://www.apss.pt/sindicatos/
FEDERAÇAO NACIONAL DO ENSINO E INVESTIGAÇAO;http://sindep.pt/Documentos/Reuniao_MEC_SINDEP_17_12_2015.pdf
SINDICATO NACIONAL DOS PROFESSORES LICENCIADOS;http://www.snpl.pt/
SINDICATO DOS TÉCNICOS DE ACTIVIDADES DE ENRIQUECIMENTO CURRICULAR;https://www.spzn.pt/pt/noticias/go/destaques-atividades-de-enriquecimento-curricular
SINDICATO DOS TRABALHADORES DA ACTIVIDADE FINANCEIRA;http://www.cgtp.pt/contactos/232-lisboa/51-sindicato-dos-trabalhadores-da-actividade-financeira-sintaf
FEDERAÇAO NACIONAL DOS SINDICATOS DA CONSTRUÇÃO, MADEIRAS, MÁRMORES E MATERIAIS DE CONSTRUÇÃO;http://sindicatos.cgtp.pt/feviccom/
FEDERAÇÃO INTERSINDICAL DA METALURGIA, METALOMECANICA, MINAS, QUIMICA, FARMCEUTICA, PETRÓLEO E GAS;https://www.fiequimetal.pt/index.php/sobre-nos
FEDERAÇÃO DOS ENGENHEIROS;https://www.fne.org.br/
SINDICATO DE QUADROS E TÉCNICOS;https://www.ste.pt/
FEDERAÇAO DOS SINDICATOS DAS INDÚSTRIAIS DE PANIFICAÇÃO, PRODUTOS ALIMENTARES E AFINS;http://sindicatos.cgtp.pt/sintab/sindicato/historia/
